antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'other vegetables', 'bottled water'})",frozenset({'whole milk'}),0.0939,0.4582,0.0562,0.5984,1.3059,0.0132,1.349
"frozenset({'other vegetables', 'yogurt'})",frozenset({'whole milk'}),0.1203,0.4582,0.0718,0.597,1.303,0.0167,1.3445
"frozenset({'yogurt', 'rolls/buns'})",frozenset({'whole milk'}),0.1113,0.4582,0.0659,0.5922,1.2924,0.0149,1.3285
"frozenset({'other vegetables', 'rolls/buns'})",frozenset({'whole milk'}),0.1467,0.4582,0.0821,0.5594,1.221,0.0149,1.2298
"frozenset({'yogurt', 'soda'})",frozenset({'whole milk'}),0.0975,0.4582,0.0544,0.5579,1.2176,0.0097,1.2255
"frozenset({'other vegetables', 'soda'})",frozenset({'whole milk'}),0.1242,0.4582,0.0693,0.5579,1.2175,0.0124,1.2254
"frozenset({'tropical fruit', 'other vegetables'})",frozenset({'whole milk'}),0.0913,0.4582,0.0505,0.5534,1.2077,0.0087,1.2131
"frozenset({'rolls/buns', 'soda'})",frozenset({'whole milk'}),0.1198,0.4582,0.0652,0.5439,1.1871,0.0103,1.1879
frozenset({'shopping bags'}),frozenset({'whole milk'}),0.1683,0.4582,0.0913,0.5427,1.1844,0.0142,1.1848
"frozenset({'other vegetables', 'sausage'})",frozenset({'whole milk'}),0.0929,0.4582,0.0503,0.5414,1.1817,0.0077,1.1816
frozenset({'bottled beer'}),frozenset({'whole milk'}),0.1588,0.4582,0.0854,0.538,1.1741,0.0127,1.1727
frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.1026,0.4582,0.0552,0.5375,1.1731,0.0081,1.1715
frozenset({'beef'}),frozenset({'whole milk'}),0.1195,0.4582,0.0641,0.5365,1.1709,0.0094,1.1689
frozenset({'yogurt'}),frozenset({'whole milk'}),0.283,0.4582,0.1506,0.5322,1.1615,0.0209,1.1582
frozenset({'canned beer'}),frozenset({'whole milk'}),0.1652,0.4582,0.0872,0.528,1.1523,0.0115,1.1478
frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.1331,0.4582,0.0703,0.5279,1.1522,0.0093,1.1478
frozenset({'curd'}),frozenset({'whole milk'}),0.1208,0.4582,0.0636,0.5265,1.1492,0.0083,1.1444
frozenset({'bottled water'}),frozenset({'whole milk'}),0.2137,0.4582,0.1124,0.5258,1.1476,0.0145,1.1426
frozenset({'butter'}),frozenset({'whole milk'}),0.1265,0.4582,0.0662,0.5233,1.1422,0.0082,1.1367
frozenset({'sausage'}),frozenset({'whole milk'}),0.206,0.4582,0.107,0.5193,1.1334,0.0126,1.1271
frozenset({'newspapers'}),frozenset({'whole milk'}),0.1398,0.4582,0.0723,0.5174,1.1293,0.0083,1.1228
frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.1547,0.4582,0.0798,0.5158,1.1257,0.0089,1.1189
frozenset({'brown bread'}),frozenset({'whole milk'}),0.136,0.4582,0.0698,0.5132,1.1201,0.0075,1.113
frozenset({'pastry'}),frozenset({'whole milk'}),0.1775,0.4582,0.0911,0.513,1.1197,0.0097,1.1126
frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.3497,0.4582,0.1786,0.5106,1.1145,0.0183,1.1072
frozenset({'pip fruit'}),frozenset({'whole milk'}),0.1706,0.4582,0.087,0.5098,1.1126,0.0088,1.1052
frozenset({'margarine'}),frozenset({'whole milk'}),0.117,0.4582,0.0595,0.5088,1.1104,0.0059,1.103
frozenset({'other vegetables'}),frozenset({'whole milk'}),0.3766,0.4582,0.1914,0.5082,1.1091,0.0188,1.1016
frozenset({'pork'}),frozenset({'whole milk'}),0.1324,0.4582,0.067,0.5058,1.104,0.0063,1.0964
"frozenset({'whole milk', 'bottled water'})",frozenset({'other vegetables'}),0.1124,0.3766,0.0562,0.5,1.3277,0.0139,1.2468
